"id","sehir_id","bolge","yagis_miktari","tarih"
116443,73,"Uludere, ULUDERE/GÜRVİLTEPE","0.8","2024-12-28"
116442,73,"Uludere, ULUDERE","22","2024-12-28"
116441,73,"Silopi, SİLOPİ","8.1","2024-12-28"
116440,73,"Merkez, ŞIRNAK/JANDARMA HELİKOPTER PİSTİ","22.4","2024-12-28"
116439,73,"Merkez, ŞIRNAK","22.2","2024-12-28"
116438,73,"İdil, İDİL","37.3","2024-12-28"
116437,73,"Güçlükonak, GÜÇLÜKONAK","0","2024-12-28"
116436,73,"Cizre, CİZRE","17.6","2024-12-28"
116435,73,"Beytüşşebap, BEYTÜŞŞEBAP/KATO DAĞI","0","2024-12-28"
116434,73,"Beytüşşebap, BEYTÜŞŞEBAP/BOĞAZÖREN KÖYÜ","25.2","2024-12-28"
116433,73,"Beytüşşebap, BEYTÜŞŞEBAP","29.5","2024-12-28"
116432,63,"Viranşehir, VİRANŞEHİR","0.9","2024-12-28"
116431,63,"Suruç, SURUÇ","0","2024-12-28"
116430,63,"Siverek, SİVEREK/YENİCELİ KÖYÜ","3.3","2024-12-28"
116429,63,"Siverek, SİVEREK/ALANYURT KÖYÜ","0.6","2024-12-28"
116428,63,"Siverek, SİVEREK","10","2024-12-28"
116427,63,"Karaköprü, ŞANLIURFA GAP HAVALİMANI","0","2024-12-28"
116426,63,"Karaköprü, KARAKÖPRÜ","0","2024-12-28"
116425,63,"Hilvan, HİLVAN","0","2024-12-28"
116424,63,"Harran, HARRAN/YENİCE KÖYÜ","1","2024-12-28"
116423,63,"Harran, HARRAN","0","2024-12-28"
116422,63,"Haliliye, ŞANLIURFA","0","2024-12-28"
116421,63,"Haliliye, HALİLİYE/ÜNİVERSİTE OSMANBEY KAMPÜSÜ","0","2024-12-28"
116420,63,"Halfeti, HALFETİ","0.2","2024-12-28"
116419,63,"Ceylanpınar, CEYLANPINAR TİGEM","17.2","2024-12-28"
116418,63,"Bozova, BOZOVA","0","2024-12-28"
116417,63,"Birecik, BİRECİK","0.2","2024-12-28"
116416,63,"Akçakale, AKÇAKALE/KORUKLU GAP TOPRAK SU (TAGEM)","0","2024-12-28"
116415,63,"Akçakale, AKÇAKALE","0","2024-12-28"
116414,19,"Uğurludağ, UĞURLUDAĞ","0.5","2024-12-28"
116413,19,"Sungurlu, SUNGURLU","0.8","2024-12-28"
116412,19,"Oğuzlar, OĞUZLAR","0","2024-12-28"
116411,19,"Osmancık, OSMANCIK/ÖBEKTAŞ KÖYÜ","0.3","2024-12-28"
116410,19,"Osmancık, OSMANCIK/TEPEYOLALTI KÖYÜ","5","2024-12-28"
